unique_id	target_id	regulator_id	drug_id	disease_id
unique00544	TAR10041	REG10214	ferrodrug0097	DIS00131
unique00433	TAR10055	REG10108	ferrodrug0352	DIS00131
unique01349	TAR10028	REG40050	ferrodrug0238	DIS00132
unique01350	TAR10028	REG20135	ferrodrug0238	DIS00132
unique00716	TAR10041	REG10214	ferrodrug0163	DIS00132
unique00243	TAR10041	REG10081	ferrodrug0120	DIS00132
unique00714	TAR10055	REG10111	ferrodrug0163	DIS00132
unique00715	TAR10055	REG10404	ferrodrug0163	DIS00132
unique01452	TAR10022	REG10044	ferrodrug0022	DIS00133
unique01189	TAR10028	REG10295	ferrodrug0100	DIS00139
unique00471	TAR10038	REG10404	ferrodrug0178	DIS00142
unique01334	TAR10011	REG40039	ferrodrug0035	DIS00144
unique01335	TAR10011	REG20084	ferrodrug0035	DIS00144
unique00666	TAR10028	REG10126	ferrodrug0206	DIS00146
unique00631	TAR10029	REG10214	ferrodrug0054	DIS00146
unique00630	TAR10041	REG10214	ferrodrug0054	DIS00146
unique00255	TAR10041	REG10214	ferrodrug0282	DIS00146
unique00342	TAR10029	REG10299	ferrodrug0329	DIS00147
unique00178	TAR10041	REG10214	ferrodrug0337	DIS00147
unique00565	TAR10041	REG10214	ferrodrug0176	DIS00147
unique00564	TAR10041	REG10209	ferrodrug0176	DIS00147
unique00340	TAR10041	REG10299	ferrodrug0329	DIS00147
unique00341	TAR10041	REG10299	ferrodrug0329	DIS00147
unique00610	TAR10041	REG10214	ferrodrug0402	DIS00147
unique00369	TAR10006	REG10299	ferrodrug0006	DIS00148
unique01256	TAR10006	REG20016	ferrodrug0006	DIS00148
unique00372	TAR10022	REG10299	ferrodrug0006	DIS00148
unique01259	TAR10022	REG20016	ferrodrug0006	DIS00148
unique00373	TAR10028	REG10299	ferrodrug0006	DIS00148
unique01260	TAR10028	REG20016	ferrodrug0006	DIS00148
unique00092	TAR10028	REG10087	ferrodrug0376	DIS00148
unique00370	TAR10036	REG10299	ferrodrug0006	DIS00148
unique01257	TAR10036	REG20016	ferrodrug0006	DIS00148
unique00077	TAR10041	REG10477	ferrodrug0192	DIS00148
unique00371	TAR10042	REG10299	ferrodrug0006	DIS00148
unique01258	TAR10042	REG20016	ferrodrug0006	DIS00148
unique00455	TAR10029	REG10232	ferrodrug0347	DIS00149
