"RCD","Effect","Exp_organism","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Ferroptosis :+: Acute pancreatitis","Mice",32115146,"_NA_",2021-12-22,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute liver failure","Mice",32094346,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ulcerative colitis","Human",32015337,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ischemia reperfusion injury","Mice",32029897,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",31996668,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Kidney injury","Mice",32051732,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetes mellitus myocardial ischemia/reperfusion injury","Rat",31809190,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute myocardial infarction","Mice",31740582,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Nonalcoholic steatohepatitis","Mice",31610178,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Sarcopenia","Mice",33390840,"_NA_",2022-01-19,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cisplatin-induced hearing loss","Mice",34302894,"_NA_",2022-01-26,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Age-related cataracts","Human, mice",33722625,"_NA_",2022-01-26,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pulmonary fibrosis","Mice",34175430,"_NA_",2022-02-10,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic renal tubular injury","Mice",33679620,"_NA_",2022-02-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Amyotrophic lateral sclerosis","Human, mice",34145375,"_NA_",2022-02-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intestinal barrier injury","Rat",34257815,"_NA_",2022-02-23,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Endometrial hyperplasia","Mice",33771639,"_NA_",2022-03-15,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Fatty liver","gibel carp",33952209,"Bioinformatics methods are used.",2022-03-22,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Prostate cancer","Human",33483372,"_NA_",2022-03-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic atherosclerosis","Mice",34508760,"_NA_",2022-03-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Autosomal dominant polycystic kidney disease","Mice",34716241,"_NA_",2022-03-31,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Obesity","Mice",34441564,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Psoriatic inflammation","Human, mice",34707088,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hyperoxic lung injury","Rat",34703276,"_NA_",2022-04-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Experimental autoimmune hepatitis","Mice",34966478,"_NA_",2022-05-05,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alzheimer's disease","Mice",33398092,"_NA_",2022-05-12,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Multiorgan dysfunction syndrome","Mice",35210435,"_NA_",2022-09-03,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute liver injury","Mice",35347117,"_NA_",2022-09-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Aortic dissection","Human, mice",35844806,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Sepsis-associated encephalopathy","Mice",35066511,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Multiple sclerosis","Mice",35676325,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Deep vein thrombosis","Rat",35717798,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Ocular defects","Zebrafish",35563172,"_NA_",2022-09-29,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intestinal injuries","Mice",35091109,"_NA_",2022-09-29,"FerrDb team"
