uniprot_id,is_core,source
Q06124,0,ferrdb
Q06187,0,ferrdb;ferreg
Q06210,0,ferrdb
Q06413,0,ferrdb;ferreg
Q06418,0,ferrdb;ferreg
Q06547,0,ferreg
Q06830,0,ferrdb;ferreg
Q06945,0,ferreg
Q07343,0,ferrdb
Q07812,0,ferrdb
Q07869,0,ferrdb;ferreg
Q07955,0,ferrdb;ferreg
Q07973,0,ferrdb
Q08050,0,ferrdb
Q08431,0,ferrdb
Q08493,0,ferrdb
Q08499,0,ferrdb
Q08J23,0,ferrdb
Q09472,0,ferrdb
Q0VDF9,0,ferrdb
Q12772,0,ferrdb;ferreg
Q12791,0,ferrdb
Q12824,0,ferrdb
Q12849,0,ferrdb
Q12899,0,ferrdb;ferreg
Q13011,0,ferrdb;ferreg
Q13085,0,ferrdb
Q13087,0,ferrdb
Q13093,0,ferrdb
Q13127,0,ferrdb
Q13131,0,ferrdb;ferreg
Q13162,0,ferrdb
Q13207,0,ferrdb
Q13242,0,ferrdb;ferreg
Q13275,0,ferreg
Q13283,0,ferrdb
Q13315,0,ferrdb;ferreg
Q13485,0,ferrdb
Q13547,0,ferreg
Q13562,0,ferrdb
Q13620,0,ferreg
Q13627,0,ferrdb
Q13761,0,ferrdb
Q13822,0,ferrdb;ferreg
Q13829,0,ferrdb;ferreg
Q14011,0,ferrdb;ferreg
Q14103,0,ferrdb
Q14114,0,ferrdb
Q14145,0,ferrdb;ferreg
Q14154,0,ferrdb
Q14209,0,ferrdb
Q14457,0,ferrdb
Q14494,0,ferrdb
Q14534,0,ferrdb
Q14571,0,ferrdb
Q14573,0,ferrdb
Q14643,0,ferrdb
Q14653,0,ferrdb
Q14680,0,ferrdb;ferreg
Q14693,0,ferrdb;ferreg
Q14767,0,ferrdb
Q14847,0,ferreg
Q14872,0,ferrdb;ferreg
Q14995,0,ferrdb;ferreg
Q15006,0,ferrdb;ferreg
Q15007,0,ferrdb;ferreg
Q15011,0,ferrdb
Q15047,0,ferreg
Q15059,0,ferrdb;ferreg
Q15109,0,ferrdb
Q15139,0,ferrdb
Q15546,0,ferrdb
Q15554,0,ferrdb
Q15717,0,ferrdb;ferreg
Q15831,0,ferrdb;ferreg
Q15848,0,ferrdb;ferreg
Q15853,0,ferrdb
Q15910,0,ferrdb;ferreg
Q16204,0,ferrdb;ferreg
Q16270,0,ferrdb
Q16534,0,ferrdb
Q16539,0,ferrdb;ferreg
Q16552,0,ferrdb
Q16584,0,ferrdb;ferreg
Q16595,0,ferrdb;ferreg
Q16620,0,ferrdb
Q16635,0,ferrdb;ferreg
Q16654,0,ferrdb;ferreg
Q16658,0,ferrdb
Q16665,0,ferrdb;ferreg
Q16678,0,ferrdb
Q16698,0,ferrdb;ferreg
Q16720,0,ferrdb
